"Date","Tweet","Location","Retweets","Link to tweet"
"11-02-2020","If we continue on a business-as-usual trajectory,  Gas  will continue on a steady upward trajectory. Read highlights of a discussion at  on    and how markets can invest more sustainably https//t.co/qg8qBLvokR   https//t.co/HpHxrjWvLf","New Delhi","0","https://twitter.com/teriin/status/1227165921296281600"
"11-02-2020","  If  gas emissions continue to grow at current rates, India is projected to see a rapid increase in extremely hot...","New Delhi, Delhi","2","https://twitter.com/EPIC_India/status/1227160296210305024"
"11-02-2020","  Record-breaking concerns.  What more should your country do to reduce  gas emissions?  Read more https//t.co...","Paris","2","https://twitter.com/GregKinsey/status/1227155315742793728"
"11-02-2020","   transport emits around 1 billion tonnes of CO2 each year, which represents around 2.5 % of global  gas em...","Romania/Brasov","8","https://twitter.com/MEDOROMANIA/status/1227144501506039808"
"11-02-2020","   transport emits around 1 billion tonnes of CO2 each year, which represents around 2.5 % of global  gas em...","Constanta, Romania","8","https://twitter.com/MareNostrumNGO/status/1227138389218074624"
"11-02-2020","          ...","United States","3","https://twitter.com/RealNoraC/status/1227011222467416069"
"11-02-2020","                           I can tell he was a conservative  because  (1) He wants to argue and  (2) His information is false!   of gas ⛽️ vehicles as well as Diesel engines help to contribute to  gases. Coal use has declined and is dying out!","Atlanta, GA USA","3","https://twitter.com/JanZackBeasley/status/1227006764190748672"
"11-02-2020","  The stuff we consume is responsible for up to 60% of global  gas  and between 50 and 80% of total ...","","44","https://twitter.com/holzel/status/1226984576842698756"
"11-02-2020","   News Under a recently-signed deal with , the University of California is expanding its shift away fro...","","3","https://twitter.com/EnergyreferralX/status/1226947216448905221"
"11-02-2020","   News Under a recently-signed deal with , the University of California is expanding its shift away fro...","","3","https://twitter.com/johnSNOWMTAINER/status/1226947024391720964"
"11-02-2020"," News Under a recently-signed deal with , the University of California is expanding its shift away from natural gas to , a form of  that actually cuts  gas .  https//t.co/uMVlOw0um0","Los Angeles, CA","3","https://twitter.com/chrisgilbride/status/1226945556364136449"
"11-02-2020","  The  just took another big step towards neutralizing its . UC is expanding its shift away...","Québec, Canada","1","https://twitter.com/BiogasWorld_/status/1226943720290910209"
"11-02-2020","  This chart offers a comprehensive view of  emissions. It describes the sources and activities across the global ec...","","1","https://twitter.com/_Qiqly/status/1226929552724762624"
"11-02-2020","This chart offers a comprehensive view of  emissions. It describes the sources and activities across the global economy that produce  gas emissions      https//t.co/KR4bPxgvIy","","1","https://twitter.com/SmartNationsCom/status/1226929013135990785"
"11-02-2020","The  just took another big step towards neutralizing its . UC is expanding its shift away from natural gas to , a form of renewable energy that actually cuts  gas emissions. https//t.co/6HOt8b1BJW","La Jolla, CA","1","https://twitter.com/UCSDExtension/status/1226928958127693825"
