"Date","Tweet","Location","Retweets","Link to tweet"
"12-02-2020","  Why do people confuse not wanting to burn  fuels for our future  needs with thinking we want to stop all ...","","6","https://twitter.com/rocobasilisk/status/1227277545948663808"
"11-02-2020","  Why do people confuse not wanting to burn  fuels for our future  needs with thinking we want to stop all ...","","6","https://twitter.com/groonoonba/status/1227185289304539136"
"11-02-2020","  Why do people confuse not wanting to burn  fuels for our future  needs with thinking we want to stop all ...","Sydney, Australia","6","https://twitter.com/Gigilamesh/status/1227137846290468865"
"11-02-2020","          ...","Austin, TX","6","https://twitter.com/BingBongBingBi1/status/1227115368264687616"
"11-02-2020","  Why do people confuse not wanting to burn  fuels for our future  needs with thinking we want to stop all ...","brookfield","6","https://twitter.com/rjo71342/status/1227072522958409728"
"11-02-2020","  Why do people confuse not wanting to burn  fuels for our future  needs with thinking we want to stop all ...","","6","https://twitter.com/DrSallyL/status/1227067490288558083"
"11-02-2020","Why do people confuse not wanting to burn  fuels for our future  needs with thinking we want to stop all  altogether? Do you burn your phone every time u make a call then buy a new one? No.    ","Sydney, New South Wales","6","https://twitter.com/sydney_ev/status/1227037432480059393"
"11-02-2020","          ...","California, USA","6","https://twitter.com/vsansome/status/1226929540758265861"
"11-02-2020","          ...","Oakland, CA","6","https://twitter.com/suevisa/status/1226908636347170820"
"10-02-2020","          ...","Orlando, Florida","6","https://twitter.com/ScenicArtDesign/status/1226892762286624769"
"10-02-2020","                            fuels are anthropogenic when put to use by humans in gasoline fuels which contribute greatly to climate change.  Coal is another source which is still being used but is substantially on the decline whereas  has outpaced coals cost & use!  is a clean use. https//t.co/h20v386ARf","Atlanta, GA USA","6","https://twitter.com/JanZackBeasley/status/1226889980129284099"
"10-02-2020","  .5 to 4 trillion dollars per year, not just billions,  are needed apart from disinvestment in  fuels and re...","","1","https://twitter.com/ranvirnayar/status/1226861911150616576"
"10-02-2020",".5 to 4 trillion dollars per year, not just billions,  are needed apart from disinvestment in  fuels and reducing the subsidies for fossil fuel. Are we ready? Read More https//t.co/gYzmn8oWPU https//t.co/NzPYkbAXBU","France, India,Italy,Scotland,","1","https://twitter.com/rajendrashende/status/1226815598153388032"
"10-02-2020","This is so crucial -- please sign  Free https//t.co/eSyGvN0IG4 via ","Broxbourne","0","https://twitter.com/NicholasCox1961/status/1226794691628322817"
"10-02-2020","  generate more  than  fuels for first time.       https//t.co/5HLFHS68cW","Dwarka, New Delhi","0","https://twitter.com/EarthRootFound1/status/1226792455451791360"
"10-02-2020","Costa Rica produced 98% of its electricity last year without   but the sustainable success story unravels with the rising demand for  and . the country’s demand for  is actually growing.  https//t.co/cFAsYHQNuu","Australia","1","https://twitter.com/VollerBrad/status/1226677708941185024"
