"Date","Tweet","Location","Link to tweet"
"12-02-2020"," @fklivestolearn: Food/#greenhouse gas emissions across the #SupplyChain - #future #sustainability #environment   @kashthefuturist @DioFa…","India","https://twitter.com/2601Manish/status/1227279197107671041"
"11-02-2020"," @fklivestolearn: Food/#greenhouse gas emissions across the #SupplyChain - #future #sustainability #environment   @kashthefuturist @DioFa…","Baltimore, Md","https://twitter.com/gvalan/status/1227248881358032897"
"11-02-2020","World's greenhouse gas emission in one chart. Things you should know about the Paris Agreement.  Read full report at https://t.co/Gv9iq5boXP   #climatechange #greenhouse #parisagreement https://t.co/lAuJyt7fOW","India","https://twitter.com/bhartisushant/status/1227243184289406976"
"11-02-2020"," @fklivestolearn: Food/#greenhouse gas emissions across the #SupplyChain - #future #sustainability #environment   @kashthefuturist @DioFa…","Manchester, England","https://twitter.com/techpearce2/status/1227236832552857600"
"11-02-2020"," @fklivestolearn: Food/#greenhouse gas emissions across the #SupplyChain - #future #sustainability #environment   @kashthefuturist @DioFa…","Atlantic ocean","https://twitter.com/junjudapi/status/1227235247927918592"
"11-02-2020","Food/#greenhouse gas emissions across the #SupplyChain - #future #sustainability #environment   @kashthefuturist @DioFavatas @gvalan @DrFerdowsi @junjudapi @ValerioDeMolli @andy_lucerne @kuriharan @urfagundem @drhiot @dak970 @enricomolinari  @stanleychen0402 @JGrobicki https://t.co/DG5WlbQutX","Canada","https://twitter.com/fklivestolearn/status/1227234054967349250"
"11-02-2020"," @chrisgilbride: #RNG News: ""Under a recently-signed deal with @AnaergiaInc, the University of California is expanding its shift away fro…","Long Beach, CA","https://twitter.com/neilnavin/status/1227215051385229312"
"11-02-2020"," @JanZackBeasley: @ScenicArtDesign @WeiZhangAtmos @WilliamFPeters2 @gregladen @AllanMargolin @tucsonrosie2001 @RealNoraC @_lynnwolf_ @ERN…","Orlando, Florida","https://twitter.com/ScenicArtDesign/status/1227172435574820865"
"11-02-2020","If we continue on a business-as-usual trajectory, #Greenhouse Gas #emissions will continue on a steady upward trajectory. Read highlights of a discussion at #WSDS2020 on #green #climate #finance and how markets can invest more sustainably: https://t.co/qg8qBLvokR #GHG @mnreindia https://t.co/HpHxrjWvLf","New Delhi","https://twitter.com/teriin/status/1227165921296281600"
"11-02-2020"," @UChiEnergy: If #greenhouse gas emissions continue to grow at current rates, India is projected to see a rapid increase in extremely hot…","New Delhi, Delhi","https://twitter.com/EPIC_India/status/1227160296210305024"
"11-02-2020"," @GWillmer_PwC: Record-breaking concerns.  What more should your country do to reduce #greenhouse gas emissions?  Read more: https://t.co…","Paris","https://twitter.com/GregKinsey/status/1227155315742793728"
"11-02-2020"," @EU_MARE: #Maritime transport emits around 1 billion tonnes of CO2 each year, which represents around 2.5 % of global #greenhouse gas em…","Romania/Brasov","https://twitter.com/MEDOROMANIA/status/1227144501506039808"
"11-02-2020"," @EU_MARE: #Maritime transport emits around 1 billion tonnes of CO2 each year, which represents around 2.5 % of global #greenhouse gas em…","Constanta, Romania","https://twitter.com/MareNostrumNGO/status/1227138389218074624"
"11-02-2020"," @JanZackBeasley: @ScenicArtDesign @WeiZhangAtmos @WilliamFPeters2 @gregladen @AllanMargolin @tucsonrosie2001 @RealNoraC @_lynnwolf_ @ERN…","United States","https://twitter.com/RealNoraC/status/1227011222467416069"
